Epoch,Loss,Gradient
1,29.039,66.3377
2,26.3641,91.3106
3,21.289,128.148
4,12.2568,143.579
5,4.00178,69.7716
6,2.56784,42.4228
7,1.61744,39.5874
8,0.784488,33.1348
9,0.182283,21.7625
10,0.0146388,3.34901
11,0.0115856,0.791746
12,0.0113053,0.72891
13,0.0110475,0.702986
14,0.0108041,0.682484
15,0.0105727,0.666815
16,0.0103519,0.651772
17,0.0101408,0.638117
18,0.00993849,0.625067
19,0.00974441,0.612815
20,0.00955791,0.601161
21,0.00937844,0.590115
22,0.00920553,0.579598
23,0.00903874,0.569583
24,0.00887766,0.560023
25,0.00872193,0.550887
26,0.00857125,0.542142
27,0.0084253,0.533758
28,0.00828382,0.525709
29,0.00814657,0.517972
30,0.00801332,0.510523
31,0.00788386,0.503343
32,0.00775801,0.496413
33,0.00763559,0.489718
34,0.00751644,0.483241
35,0.00740041,0.476969
36,0.00728736,0.47089
37,0.00717716,0.46499
38,0.00706971,0.459261
39,0.00696487,0.453691
40,0.00686255,0.448273
41,0.00676266,0.442997
42,0.0066651,0.437857
43,0.00656978,0.432845
44,0.00647662,0.427954
45,0.00638555,0.42318
46,0.0062965,0.418515
47,0.00620939,0.413956
48,0.00612417,0.409498
49,0.00604076,0.405136
50,0.00595912,0.400866
51,0.00587919,0.396684
52,0.00580091,0.392587
53,0.00572424,0.388571
54,0.00564912,0.384634
55,0.00557551,0.380773
56,0.00550337,0.376984
57,0.00543266,0.373265
58,0.00536333,0.369615
59,0.00529535,0.36603
60,0.00522868,0.362508
61,0.00516328,0.359048
62,0.00509912,0.355648
63,0.00503616,0.352305
64,0.00497439,0.349018
65,0.00491376,0.345786
66,0.00485424,0.342607
67,0.00479581,0.33948
68,0.00473844,0.336402
69,0.0046821,0.333374
70,0.00462677,0.330392
71,0.00457243,0.327458
72,0.00451904,0.324568
73,0.00446659,0.321722
74,0.00441505,0.318919
75,0.00436441,0.316158
76,0.00431463,0.313438
77,0.00426571,0.310758
78,0.00421762,0.308118
79,0.00417034,0.305515
80,0.00412385,0.30295
81,0.00407814,0.300421
82,0.00403319,0.297928
83,0.00398898,0.29547
84,0.0039455,0.293046
85,0.00390272,0.290655
86,0.00386064,0.288298
87,0.00381923,0.285973
88,0.00377849,0.283679
89,0.0037384,0.281416
90,0.00369894,0.279183
91,0.00366011,0.27698
92,0.00362188,0.274806
93,0.00358425,0.272661
94,0.00354721,0.270543
95,0.00351074,0.268454
96,0.00347482,0.266391
97,0.00343946,0.264354
98,0.00340463,0.262343
99,0.00337033,0.260358
100,0.00333655,0.258398
101,0.00330327,0.256463
102,0.00327048,0.254551
103,0.00323819,0.252664
104,0.00320636,0.250799
105,0.00317501,0.248958
106,0.00314411,0.247139
107,0.00311366,0.245342
108,0.00308365,0.243566
109,0.00305407,0.241812
110,0.00302492,0.240079
111,0.00299618,0.238367
112,0.00296785,0.236675
113,0.00293992,0.235003
114,0.00291238,0.23335
115,0.00288522,0.231717
116,0.00285844,0.230102
117,0.00283204,0.228507
118,0.00280599,0.226929
119,0.00278031,0.22537
120,0.00275497,0.223828
121,0.00272998,0.222304
122,0.00270533,0.220797
123,0.00268101,0.219307
124,0.00265702,0.217834
125,0.00263335,0.216377
126,0.00260999,0.214936
127,0.00258694,0.213511
128,0.00256419,0.212102
129,0.00254174,0.210708
130,0.00251959,0.209329
131,0.00249772,0.207966
132,0.00247614,0.206617
133,0.00245483,0.205282
134,0.0024338,0.203962
135,0.00241304,0.202656
136,0.00239254,0.201363
137,0.0023723,0.200084
138,0.00235232,0.198819
139,0.00233258,0.197567
140,0.0023131,0.196328
141,0.00229385,0.195102
142,0.00227485,0.193888
143,0.00225608,0.192687
144,0.00223754,0.191499
145,0.00221923,0.190322
146,0.00220114,0.189158
147,0.00218327,0.188005
148,0.00216562,0.186864
149,0.00214818,0.185734
150,0.00213095,0.184616
151,0.00211393,0.183509
152,0.00209711,0.182412
153,0.00208049,0.181327
154,0.00206407,0.180252
155,0.00204783,0.179188
156,0.00203179,0.178134
