F0,F1,F2,F3,F4,F5,Label,Prediction
0.381,-0.192,-2.624,-1.055,5.01,1.1913,1,1
0.959,0.381,-0.192,-2.624,-1.055,1.2965,1,0
1.032,0.959,0.381,-0.192,-2.624,1.4112,0,0
-0.623,1.032,0.959,0.381,-0.192,1.276,1,1
0.614,-0.623,1.032,0.959,0.381,1.2057,1,1
0.213,0.614,-0.623,1.032,0.959,1.3491,1,1
1.392,0.213,0.614,-0.623,1.032,1.445,0,1
-0.403,1.392,0.213,0.614,-0.623,1.4078,1,1
0.027,-0.403,1.392,0.213,0.614,1.164,1,1
1.303,0.027,-0.403,1.392,0.213,1.2326,1,1
0.287,1.303,0.027,-0.403,1.392,1.309,0,1
-0.498,0.287,1.303,0.027,-0.403,1.258,0,1
-0.189,-0.498,0.287,1.303,0.027,1.098,1,1
0.68,-0.189,-0.498,0.287,1.303,1.0531,1,1
0.701,0.68,-0.189,-0.498,0.287,1.1498,0,1
-0.562,0.701,0.68,-0.189,-0.498,1.2953,1,1
0.546,-0.562,0.701,0.68,-0.189,1.1188,0,1
-1.747,0.546,-0.562,0.701,0.68,1.0484,1,1
0.359,-1.747,0.546,-0.562,0.701,1.013,0,1
-0.151,0.359,-1.747,0.546,-0.562,1.0596,0,1
-0.841,-0.151,0.359,-1.747,0.546,1.1583,0,1
-0.623,-0.841,-0.151,0.359,-1.747,1.1072,0,1
-1.334,-0.623,-0.841,-0.151,0.359,1.0755,1,1
1.183,-1.334,-0.623,-0.841,-0.151,1.0391,0,1
-0.865,1.183,-1.334,-0.623,-0.841,1.0752,0,1
-0.218,-0.865,1.183,-1.334,-0.623,1.1503,1,1
0.812,-0.218,-0.865,1.183,-1.334,1.1537,0,1
-1.891,0.812,-0.218,-0.865,1.183,1.2572,0,1
-1.736,-1.891,0.812,-0.218,-0.865,1.1122,0,1
-1.851,-1.736,-1.891,0.812,-0.218,1.2085,0,1
-0.195,-1.851,-1.736,-1.891,0.812,1.3659,0,1
-0.556,-0.195,-1.851,-1.736,-1.891,1.2313,1,1
1.749,-0.556,-0.195,-1.851,-1.736,1.1308,0,0
-0.766,1.749,-0.556,-0.195,-1.851,1.1141,0,1
-1.431,-0.766,1.749,-0.556,-0.195,1.2253,1,1
0.104,-1.431,-0.766,1.749,-0.556,1.2949,0,1
-0.568,0.104,-1.431,-0.766,1.749,1.294,1,1
0.586,-0.568,0.104,-1.431,-0.766,0.9292,1,1
0.998,0.586,-0.568,0.104,-1.431,1.0918,1,0
0.645,0.998,0.586,-0.568,0.104,1.1322,1,1
0.226,0.645,0.998,0.586,-0.568,1.1141,0,1
-2.476,0.226,0.645,0.998,0.586,1.0859,0,1
-4.318,-2.476,0.226,0.645,0.998,1.229,1,1
1.483,-4.318,-2.476,0.226,0.645,1.3609,0,1
-2.584,1.483,-4.318,-2.476,0.226,1.3974,1,1
0.587,-2.584,1.483,-4.318,-2.476,1.2595,0,1
-1.962,0.587,-2.584,1.483,-4.318,1.54356,1,1
