Epoch,Loss,Gradient
1,232.953,315.079
2,226.798,310.086
3,220.836,305.191
4,215.06,300.393
5,209.465,295.69
6,204.043,291.08
7,198.788,286.561
8,193.696,282.13
9,188.759,277.787
10,183.973,273.53
11,179.333,269.356
12,174.833,265.264
13,170.468,261.251
14,166.235,257.318
15,162.128,253.461
16,158.142,249.679
17,154.275,245.971
18,150.522,242.335
19,146.878,238.769
20,143.341,235.272
21,139.907,231.843
22,136.572,228.48
23,133.333,225.182
24,130.186,221.947
25,127.13,218.774
26,124.16,215.661
27,121.273,212.608
28,118.468,209.613
29,115.741,206.675
30,113.09,203.793
31,110.513,200.965
32,108.006,198.19
33,105.568,195.468
34,103.196,192.796
35,100.889,190.175
36,98.6437,187.602
37,96.4589,185.077
38,94.3324,182.599
39,92.2624,180.166
40,90.2471,177.779
41,88.2848,175.435
42,86.3739,173.134
43,84.5127,170.875
44,82.6996,168.657
45,80.9333,166.48
46,79.2122,164.341
47,77.535,162.241
48,75.9003,160.179
49,74.3069,158.153
50,72.7535,156.163
51,71.2389,154.209
52,69.7618,152.289
53,68.3213,150.403
54,66.9162,148.55
55,65.5455,146.729
56,64.2082,144.939
57,62.9032,143.181
58,61.6296,141.452
59,60.3866,139.754
60,59.1732,138.084
61,57.9886,136.442
62,56.832,134.829
63,55.7025,133.242
64,54.5994,131.682
65,53.522,130.148
66,52.4695,128.639
67,51.4412,127.155
68,50.4365,125.695
69,49.4546,124.259
70,48.4951,122.847
71,47.5572,121.457
72,46.6405,120.09
73,45.7442,118.744
74,44.8678,117.42
75,44.0109,116.117
76,43.1729,114.834
77,42.3532,113.571
78,41.5515,112.328
79,40.7672,111.104
80,39.9999,109.898
81,39.2491,108.712
82,38.5145,107.543
83,37.7955,106.392
84,37.0918,105.258
85,36.403,104.141
86,35.7288,103.041
87,35.0687,101.957
88,34.4224,100.888
89,33.7896,99.8357
90,33.1699,98.7983
91,32.5629,97.7759
92,31.9685,96.7681
93,31.3863,95.7746
94,30.8159,94.7952
95,30.2571,93.8295
96,29.7097,92.8774
97,29.1733,91.9385
98,28.6477,91.0125
99,28.1325,90.0993
100,27.6277,89.1985
101,27.1329,88.3099
102,26.6479,87.4333
103,26.1725,86.5685
104,25.7064,85.7151
105,25.2495,84.8731
106,24.8015,84.0421
107,24.3622,83.222
108,23.9314,82.4126
109,23.509,81.6136
110,23.0947,80.8248
111,22.6884,80.0462
112,22.2899,79.2774
113,21.8989,78.5183
114,21.5155,77.7687
115,21.1393,77.0285
116,20.7702,76.2974
117,20.4081,75.5754
118,20.0528,74.8622
119,19.7042,74.1577
120,19.3621,73.4617
121,19.0264,72.774
122,18.6969,72.0947
123,18.3736,71.4234
124,18.0562,70.76
125,17.7447,70.1045
126,17.439,69.4566
127,17.1389,68.8163
128,16.8442,68.1833
129,16.555,67.5577
130,16.2711,66.9392
131,15.9923,66.3278
132,15.7186,65.7233
133,15.4498,65.1257
134,15.186,64.5347
135,14.9268,63.9503
136,14.6724,63.3724
137,14.4225,62.8009
138,14.1771,62.2357
139,13.9362,61.6766
140,13.6995,61.1236
141,13.467,60.5766
142,13.2387,60.0356
143,13.0144,59.5003
144,12.7941,58.9707
145,12.5778,58.4468
146,12.3652,57.9284
147,12.1564,57.4154
148,11.9513,56.9079
149,11.7498,56.4056
150,11.5518,55.9085
151,11.3573,55.4166
152,11.1662,54.9298
153,10.9784,54.448
154,10.794,53.971
155,10.6127,53.499
156,10.4346,53.0317
157,10.2596,52.5691
158,10.0876,52.1112
159,9.91865,51.6579
160,9.7526,51.2091
161,9.58941,50.7648
162,9.42904,50.3248
163,9.27144,49.8892
164,9.11655,49.4579
165,8.96433,49.0309
166,8.81473,48.6079
167,8.66769,48.1892
168,8.52318,47.7744
169,8.38115,47.3637
170,8.24154,46.9569
171,8.10432,46.5541
172,7.96945,46.1551
173,7.83687,45.7599
174,7.70656,45.3685
175,7.57847,44.9807
176,7.45255,44.5967
177,7.32878,44.2163
178,7.20711,43.8394
179,7.0875,43.4661
180,6.96992,43.0963
181,6.85434,42.7299
182,6.74071,42.3669
183,6.629,42.0074
184,6.51918,41.6511
185,6.41121,41.2981
186,6.30506,40.9484
187,6.20071,40.6019
188,6.09811,40.2585
189,5.99725,39.9183
190,5.89807,39.5813
191,5.80057,39.2472
192,5.7047,38.9162
193,5.61045,38.5883
194,5.51777,38.2632
195,5.42665,37.9411
196,5.33706,37.622
197,5.24897,37.3056
198,5.16235,36.9922
199,5.07719,36.6815
200,4.99345,36.3736
201,4.9111,36.0684
202,4.83013,35.766
203,4.75052,35.4663
204,4.67223,35.1692
205,4.59525,34.8747
206,4.51955,34.5829
207,4.44512,34.2936
208,4.37192,34.0069
209,4.29995,33.7227
210,4.22917,33.441
211,4.15957,33.1617
212,4.09112,32.8849
213,4.02381,32.6106
214,3.95763,32.3386
215,3.89254,32.069
216,3.82853,31.8018
217,3.76558,31.5369
218,3.70368,31.2742
219,3.6428,31.0139
220,3.58294,30.7558
221,3.52406,30.5
222,3.46617,30.2463
223,3.40923,29.9949
224,3.35323,29.7456
225,3.29816,29.4985
226,3.244,29.2534
227,3.19074,29.0105
228,3.13835,28.7697
229,3.08684,28.531
230,3.03617,28.2943
231,2.98634,28.0596
232,2.93734,27.8269
233,2.88914,27.5963
234,2.84174,27.3676
235,2.79513,27.1408
236,2.74928,26.916
237,2.70419,26.6931
238,2.65984,26.472
239,2.61622,26.2529
240,2.57332,26.0356
241,2.53113,25.8202
242,2.48964,25.6066
243,2.44883,25.3948
244,2.40869,25.1848
245,2.36921,24.9766
246,2.33038,24.7701
247,2.29219,24.5654
248,2.25463,24.3624
249,2.21769,24.1611
250,2.18136,23.9615
251,2.14562,23.7636
252,2.11047,23.5674
253,2.0759,23.3728
254,2.0419,23.1799
255,2.00845,22.9885
256,1.97556,22.7988
257,1.94321,22.6107
258,1.91139,22.4241
259,1.88009,22.2392
260,1.84931,22.0557
261,1.81903,21.8738
262,1.78925,21.6935
263,1.75996,21.5146
264,1.73115,21.3373
265,1.70281,21.1614
266,1.67493,20.987
267,1.64752,20.814
268,1.62056,20.6425
269,1.59403,20.4724
270,1.56795,20.3038
271,1.54229,20.1365
272,1.51705,19.9707
273,1.49222,19.8062
274,1.46781,19.6431
275,1.44379,19.4814
276,1.42017,19.321
277,1.39693,19.1619
278,1.37408,19.0042
279,1.3516,18.8478
280,1.32949,18.6926
281,1.30774,18.5388
282,1.28635,18.3862
283,1.26531,18.235
284,1.24461,18.0849
285,1.22425,17.9361
286,1.20423,17.7886
287,1.18453,17.6423
288,1.16516,17.4971
289,1.1461,17.3532
290,1.12736,17.2105
291,1.10892,17.069
292,1.09079,16.9286
293,1.07295,16.7894
294,1.05541,16.6514
295,1.03815,16.5145
296,1.02117,16.3787
297,1.00448,16.2441
298,0.988052,16.1105
299,0.971896,15.9781
300,0.956006,15.8468
301,0.940375,15.7165
302,0.925001,15.5874
303,0.909878,15.4593
304,0.895002,15.3322
305,0.88037,15.2062
306,0.865978,15.0813
307,0.851821,14.9574
308,0.837896,14.8345
309,0.824198,14.7126
310,0.810725,14.5917
311,0.797472,14.4718
